what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1322274017586
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1322274017588
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1322274017590
os,sysinfo,,,"macosx",1322274017595
arch,sysinfo,,,"x86",1322274017595
ws,sysinfo,,,"cocoa",1322274017595
locale,sysinfo,,,"en_US",1322274017595
processors,sysinfo,,,"2",1322274017595
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1322274017595
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1322274017595
java.specification.name,sysinfo,,,"Java Platform API Specification",1322274017595
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322274017595
java.specification.version,sysinfo,,,"1.6",1322274017595
java.vendor,sysinfo,,,"Apple Inc.",1322274017595
java.version,sysinfo,,,"1.6.0_29",1322274017595
java.vm.info,sysinfo,,,"mixed mode",1322274017595
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1322274017595
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322274017595
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322274017595
java.vm.specification.version,sysinfo,,,"1.0",1322274017595
java.vm.vendor,sysinfo,,,"Apple Inc.",1322274017595
java.vm.version,sysinfo,,,"20.4-b02-402",1322274017595
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1322274017633
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1322274017968
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1322274018003
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1322274018152
